TIME,BNO055_ax_world,BNO055_ay_world,BNO055_az_world,BNO055_ax_body,BNO055_ay_body,BNO055_az_body,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,Q0,Q1,Q2,Q3,MPU9250_ax_body,MPU9250_ay_body,MPU9250_az_body,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-04-06 08:38:35.000,2.37196,-0.31034,7.28355,-0.3352,6.54119,-3.98409,19.04297,13.42773,-4.57764,-349,-174,-14,2755,9005,12307,5320.0,0.15802,5.74629,-3.88832,21.60645,8.05664,-0.97656,288,-82,145
2024-04-06 08:38:35.100,-0.46806,0.48763,12.86749,1.75262,8.72478,-9.31857,18.31055,13.42773,-5.24902,99,-329,108,3105,9161,12072,5399.0,2.66724,10.98978,-8.81577,-8.05664,15.44189,4.69971,290,-80,145
2024-04-06 08:38:35.200,-1.40817,-0.22757,8.58964,0.83321,5.20039,-6.93386,19.40918,14.52637,-5.24902,-222,175,213,3354,9081,12014,5512.0,0.30647,2.65766,-4.96096,7.8125,-16.11328,15.93018,290,-82,144
2024-04-06 08:38:35.300,2.4928,-3.57366,7.6754,-3.41904,6.52204,-4.86519,18.31055,13.42773,-4.57764,-729,361,-1290,3001,8939,12177,5589.0,-3.16046,6.79499,-5.19081,40.58838,-24.96338,-82.58057,289,-81,144
2024-04-06 08:38:35.400,-4.63401,-4.38467,12.90623,-2.39429,5.60263,-13.04408,18.73779,13.85498,-4.57764,1522,-892,653,3747,8436,12373,5490.0,-0.33041,12.45508,-11.21005,-90.63721,43.88428,46.93604,288,-78,145
2024-04-06 08:38:35.500,-4.50983,1.04525,3.41685,2.1357,0.29689,-5.33447,17.27295,14.4043,-4.88281,-640,-1012,-31,4548,8734,11827,5621.0,2.19796,-0.23464,-3.17961,11.1084,46.93604,-3.96729,288,-78,143
2024-04-06 08:38:35.600,-0.84065,2.67885,10.83884,2.23148,8.15015,-7.34567,17.27295,14.83154,-5.61523,126,-159,373,4521,9107,11797,5088.0,1.8867,9.61067,-6.2874,-7.99561,-3.54004,14.46533,288,-79,147
2024-04-06 08:38:35.700,0.79484,-1.14988,9.63073,-1.86754,7.5851,-5.80375,16.8457,13.73291,-5.61523,-221,661,-649,4408,8552,12120,5384.0,-2.0974,6.86203,-6.98653,-6.95801,-32.53174,-20.32471,289,-77,145
2024-04-06 08:38:35.800,1.32216,-2.48397,10.26345,-3.94579,7.92988,-5.89952,16.47949,16.29639,-5.61523,-620,-1036,-712,4787,8314,12233,5172.0,-3.66805,5.49728,-5.54038,29.60205,64.81934,-24.23096,286,-74,146
2024-04-06 08:38:35.900,1.12584,-2.3151,9.33277,-4.30972,7.40314,-4.51084,14.64844,16.6626,-6.71387,-917,-897,-463,5792,8360,11824,5018.0,-4.9466,7.92988,-2.40865,47.79053,44.98291,-37.29248,284,-74,148
2024-04-06 08:38:36.000,-0.39184,2.53575,9.95851,-0.01915,8.71521,-5.45897,13.91602,17.08984,-7.50732,485,-631,472,6372,8307,11627,4861.0,1.48925,9.14139,-4.50605,-29.41895,31.73828,42.96875,285,-75,147
2024-04-06 08:38:36.100,-1.11588,3.89838,9.54099,2.26978,8.08311,-6.08149,13.5498,17.33398,-8.54492,258,749,488,6112,9045,11169,4952.0,4.58745,11.234,-3.97452,-12.146,-64.33105,20.26367,285,-77,146
2024-04-06 08:38:36.200,1.34835,-0.67393,4.9187,-1.43657,4.70238,-1.51319,15.80811,15.625,-7.8125,-1099,231,-578,5764,8958,11183,5469.0,-2.35119,4.26183,0.39745,54.26025,-17.21191,-46.63086,287,-77,143
2024-04-06 08:38:36.300,1.18714,1.06925,16.20337,-1.19714,14.21249,-7.85326,15.80811,14.83154,-6.71387,780,266,772,5499,8649,11559,5458.0,-1.8436,14.91162,-7.65693,-20.75195,-11.23047,53.4668,286,-79,146
2024-04-06 08:38:36.400,-0.68058,0.05929,4.97744,-0.23943,3.80213,-3.27538,15.80811,14.83154,-5.24902,242,499,267,5247,8428,11694,5754.0,0.41661,0.31605,-3.81649,-14.46533,-21.3623,46.14258,288,-77,144
2024-04-06 08:38:36.500,-3.83774,-4.83956,10.59667,-3.97452,6.18684,-9.81658,15.80811,15.86914,-5.12695,785,56,-53,4872,9228,11139,5955.0,-1.79093,14.55727,-6.17726,-63.04932,-29.96826,-49.68262,288,-78,144
2024-04-06 08:38:36.600,-7.68661,-1.21005,18.56825,0.66082,10.03685,-17.43999,17.57812,14.83154,-6.22559,865,598,1617,4466,8937,11661,5714.0,1.32644,14.84937,-15.83103,-48.58398,-54.32129,100.58594,289,-79,146
2024-04-06 08:38:36.700,4.41485,-4.01771,8.71593,-4.00325,9.28026,-3.07426,17.94434,13.73291,-5.12695,-371,944,848,3588,8938,11500,6589.0,-4.10381,10.58275,-3.8548,34.5459,-46.08154,50.10986,291,-80,141
2024-04-06 08:38:36.800,-0.96022,-1.59203,0.91839,-1.08222,0.15323,-1.7622,19.04297,12.93945,-2.68555,1894,-173,300,3741,8976,11233,6905.0,-0.66082,-1.70952,-0.63688,-153.80859,11.16943,38.75732,290,-82,142
2024-04-06 08:38:36.900,7.50856,10.55514,22.23616,17.33464,14.10714,-12.75676,19.40918,13.06152,-3.11279,8493,4036,4850,-507,10867,11502,4219.0,17.77519,12.24917,-27.74979,-379.88281,-209.10645,258.72803,304,-87,143
